time,temp,pressure,humidity,yaw,pitch,roll,compass_x,compass_y,compass_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
598139982341,36.37550354003906,1031.3818359375,11.809232711791992,126.16898921652472,359.7593452215055,358.3800080486936,-21.05780029296875,-29.70435333251953,25.971500396728516,0.0033942428417503834,-0.027982203289866447,0.9825856685638428,0.0007635052315890789,-0.0013089263811707497,-9.573623538017273e-05
598139982524,36.246795654296875,1031.374755859375,11.775627136230469,126.16964491468504,359.7571117763273,358.384482889817,-43.009029388427734,-61.11747360229492,53.20670700073242,0.005091364029794931,-0.027982203289866447,0.9803923964500427,0.0006094096461310983,0.00021335110068321228,0.0019979123026132584
598139982582,36.246795654296875,1031.375732421875,11.775627136230469,126.1598367630369,359.756229908192,358.38907128283535,-52.38480758666992,-73.90788269042969,64.32212829589844,0.00315179699100554,-0.0282234288752079,0.9825856685638428,0.0023264267947524786,-0.0009765136055648327,0.0025270171463489532
598139982635,36.2835693359375,1031.37109375,10.692802429199219,126.1591537441199,359.7536371577109,358.3905483112434,-55.34782791137695,-79.16928100585938,69.15296173095703,0.005091364029794931,-0.029429558664560318,0.9813672304153442,0.0027440767735242844,0.0014596972614526749,-0.00054195336997509
598139982692,36.35711669921875,1031.369873046875,10.950441360473633,126.12788513809959,359.7510526514816,358.39600872731967,-56.95855712890625,-81.56137084960938,70.32280731201172,0.005091364029794931,-0.029429558664560318,0.9828293919563293,0.0038145214784890413,0.002624344080686569,-0.00022623222321271896
598139982751,36.35711669921875,1031.370361328125,10.950441360473633,126.1080639291282,359.7497116132071,358.40207030676464,-57.9653434753418,-82.47185516357422,71.80683135986328,0.0058187018148601055,-0.029429558664560318,0.9825856685638428,0.003018552204594016,0.0005394751206040382,9.8484568297863e-05
598139982804,36.39389419555664,1031.374755859375,12.761371612548828,126.10268174006224,359.74468459397804,358.4049332232439,-58.219078063964844,-82.42058563232422,71.93260192871094,0.0046064723283052444,-0.027258524671196938,0.9825856685638428,0.001698632724583149,0.0011939536780118942,0.0004572635516524315
598139982873,36.22840881347656,1031.375244140625,11.44331169128418,126.09944423039565,359.7435092144714,358.40827724117287,-58.38314437866211,-82.4481430053711,72.03269958496094,0.003636688692495227,-0.0282234288752079,0.9828293919563293,0.000711791159119457,-0.0018516434356570244,-0.001911514438688755
598139982945,36.246795654296875,1031.385009765625,12.208757400512695,126.0983650605068,359.7385318208355,358.4077388301672,-58.04950714111328,-82.76807403564453,72.04660034179688,0.0046064723283052444,-0.02749975211918354,0.9828293919563293,0.001556104514747858,-4.757475107908249e-05,0.0005167583003640175
598139983023,36.30195617675781,1031.39599609375,14.206380844116211,126.07986890823439,359.73925408665974,358.4087239782333,-58.118858337402344,-82.87925720214844,71.91756439208984,0.0026669050566852093,-0.027740979567170143,0.9811235070228577,0.0014739506877958775,0.0023529790341854095,-0.0022301534190773964
